X,Y,OBJECTID,stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,GlobalID,created_user,created_date,last_edited_user,last_edited_date
-70.966686000238155,42.251436999369076,2730,3304,3304,Palmer St @ Taffrail Rd,,42.251437,-70.966686,,,0,,0,{328761A8-C473-4B5F-9BF8-65A82669A9BD},,,,
-70.965312998792314,42.251137000050697,2731,3305,3305,26 Taffrail Rd,,42.251137,-70.965313,,,0,,0,{4449DA47-4727-45E6-A002-D1B1346673DF},,,,
-70.964261998841124,42.251585000286113,2732,3306,3306,Taffrail Rd @ Bicknell St,,42.251585,-70.964262,,,0,,0,{59E8143C-432A-4CB3-A307-A44AAF3A78BB},,,,
-70.963227998598043,42.251162999983507,2733,3307,3307,Bicknell St @ O'Brien Towers Driveway,,42.251163,-70.963228,,,0,,0,{3B127586-6B90-4D4B-A251-CDA2A4B20FD4},,,,
-71.046953999511047,42.283946000050207,2734,33076,33076,Gallivan Blvd @ Hallet St,,42.283946,-71.046954,,,0,,0,{B0B8A983-C276-4380-81A4-D14739796A7D},,,,
-71.051656000286329,42.283299999586731,2735,33077,33077,Gallivan Blvd @ Woodfield St,,42.2833,-71.051656,,,0,,0,{CDCE4AC1-6BB8-4F8E-A154-A390125588C3},,,,
-70.963707999622315,42.250418999726087,2736,3308,3308,O'Brien Towers,,42.250419,-70.963708,,,0,,0,{91C9A2A5-86DB-4FDC-9AD7-E2757AC1AE18},,,,
-70.963093999962084,42.251047999501928,2737,3309,3309,O'Brien Towers Driveway @ Bicknell St,,42.251048,-70.963094,,,0,,0,{8EF1835F-112E-418C-9EF9-B8DFBB212086},,,,
-71.063344000238715,42.289421999725107,2738,331,331,Dorchester Ave opp Shepton St,,42.289422,-71.063344,,,0,,0,{0037A20F-42C5-4497-AC76-752F127EEA46},,,,
-70.964105999685557,42.251677000501317,2739,3310,3310,Bicknell St @ Binnacle Lane,,42.251677,-70.964106,,,0,,0,{FFA27F2D-BD02-4B92-9E8A-E84635C93CAF},,,,
-70.96536699936307,42.252817000213938,2740,3311,3311,Bicknell St @ Yardarm Ln,,42.252817,-70.965367,,,0,,0,{EF6D6C17-34F9-4C48-9E5E-B4DBCFECCB79},,,,
-70.966295000140533,42.253545000150218,2741,3312,3312,Palmer St @ Shed St,,42.253545,-70.966295,,,0,,0,{08E82FE8-AC0A-41D6-8D40-A3D3785E546D},,,,
-70.966441999555201,42.25418800011046,2742,3313,3313,Palmer St @ Snug Harbor Community School,,42.254188,-70.966442,,,0,,0,{13303607-15DF-4455-9804-0134596E2505},,,,
