,LICENSENO,LICENSEDTTM,ISSDTTM,EXPDTTM,LICSTATUS,LICCATDESC,PRIMAPPLICANT,CONTACT,DBANAME,BUSINESSNAME,Manager,TOTALCAPACITY,FEEAMOUNT,CAPACITY,ENDTIME,NUMBEROFUNITS,Neighborhood,CAL_POLICEDISTRICTCODE,CAL_UNITTYPECODE,UnitTypeDescript,TotalEntCapacity,STNO,STNOHI,Address,CITY,STATE,ZIP,Location,Lat,Long
1220,CAL-132550,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Carla Lo Conte,,Lo Conte's Restaurant,"Brook Farm Egg, Inc.",Carla Lo Conte,99,0.0,0,11:00 PM,1,Downtown/Charlestown/North End,A-1,Radio,Radio,99,116,,  Salem ST,Boston,MA,2113,"['42.364676000', '-71.055658000']",42.364676000,-71.055658000
1221,CAL-132551,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Douglas F Bacon,,The Last Drop,"Last Drop, Inc.",Douglas F Bacon,105,0.0,105,2:00 AM,1,Allston/Brighton,D-14,CassetteCD,Cassette/CD Player,105,594,600,  Washington ST,Brighton,MA,2135,"['42.350360000', '-71.167040000']",42.350360000,-71.167040000
1222,CAL-132551,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Douglas F Bacon,,The Last Drop,"Last Drop, Inc.",Douglas F Bacon,105,0.0,0,2:00 AM,1,Allston/Brighton,D-14,Radio,Radio,105,594,600,  Washington ST,Brighton,MA,2135,"['42.350360000', '-71.167040000']",42.350360000,-71.167040000
1223,CAL-132551,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Douglas F Bacon,,The Last Drop,"Last Drop, Inc.",Douglas F Bacon,105,0.0,0,2:00 AM,1,Allston/Brighton,D-14,Jukebox,Jukebox,105,594,600,  Washington ST,Brighton,MA,2135,"['42.350360000', '-71.167040000']",42.350360000,-71.167040000
1224,CAL-132551,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Douglas F Bacon,,The Last Drop,"Last Drop, Inc.",Douglas F Bacon,105,0.0,0,2:00 AM,2,Allston/Brighton,D-14,TV,"Television (under 27"")",105,594,600,  Washington ST,Brighton,MA,2135,"['42.350360000', '-71.167040000']",42.350360000,-71.167040000
1225,CAL-132551,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Douglas F Bacon,,The Last Drop,"Last Drop, Inc.",Douglas F Bacon,105,360.0,0,2:00 AM,2,Allston/Brighton,D-14,WidescrnTV,Widescreen Television,105,594,600,  Washington ST,Brighton,MA,2135,"['42.350360000', '-71.167040000']",42.350360000,-71.167040000
1226,CAL-132551,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Douglas F Bacon,,The Last Drop,"Last Drop, Inc.",Douglas F Bacon,105,180.0,0,2:00 AM,1,Allston/Brighton,D-14,DVDVCR,DVD/VCR,105,594,600,  Washington ST,Brighton,MA,2135,"['42.350360000', '-71.167040000']",42.350360000,-71.167040000
1227,CAL-132551,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Douglas F Bacon,,The Last Drop,"Last Drop, Inc.",Douglas F Bacon,105,280.0,0,2:00 AM,2,Allston/Brighton,D-14,AutoAmuse,Auto Amusement Device/Game,105,594,600,  Washington ST,Brighton,MA,2135,"['42.350360000', '-71.167040000']",42.350360000,-71.167040000
1228,CAL-132551,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Douglas F Bacon,,The Last Drop,"Last Drop, Inc.",Douglas F Bacon,105,0.0,0,2:00 AM,1,Allston/Brighton,D-14,Dartboard,Dartboard,105,594,600,  Washington ST,Brighton,MA,2135,"['42.350360000', '-71.167040000']",42.350360000,-71.167040000
1229,CAL-132552,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,AUSTIN O'CONNOR,O'CONNOR,The Harp,"Galway, Inc.",AUSTIN O'CONNOR,693,0.0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,InstVocal,Instrumental/Vocal,693,85,,  Causeway ST,Boston,MA,2114,"['42.364591000', '-71.062338000']",42.364591000,-71.062338000
1230,CAL-132552,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,AUSTIN O'CONNOR,O'CONNOR,The Harp,"Galway, Inc.",AUSTIN O'CONNOR,693,0.0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,DJ,Disc Jockey,693,85,,  Causeway ST,Boston,MA,2114,"['42.364591000', '-71.062338000']",42.364591000,-71.062338000
1231,CAL-132552,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,AUSTIN O'CONNOR,O'CONNOR,The Harp,"Galway, Inc.",AUSTIN O'CONNOR,693,0.0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,FloorShow,Floor Show,693,85,,  Causeway ST,Boston,MA,2114,"['42.364591000', '-71.062338000']",42.364591000,-71.062338000
1232,CAL-132552,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,AUSTIN O'CONNOR,O'CONNOR,The Harp,"Galway, Inc.",AUSTIN O'CONNOR,693,0.0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,CassetteCD,Cassette/CD Player,693,85,,  Causeway ST,Boston,MA,2114,"['42.364591000', '-71.062338000']",42.364591000,-71.062338000
1233,CAL-132552,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,AUSTIN O'CONNOR,O'CONNOR,The Harp,"Galway, Inc.",AUSTIN O'CONNOR,693,0.0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,Radio,Radio,693,85,,  Causeway ST,Boston,MA,2114,"['42.364591000', '-71.062338000']",42.364591000,-71.062338000
1234,CAL-132552,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,AUSTIN O'CONNOR,O'CONNOR,The Harp,"Galway, Inc.",AUSTIN O'CONNOR,693,0.0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,Jukebox,Jukebox,693,85,,  Causeway ST,Boston,MA,2114,"['42.364591000', '-71.062338000']",42.364591000,-71.062338000
1235,CAL-132552,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,AUSTIN O'CONNOR,O'CONNOR,The Harp,"Galway, Inc.",AUSTIN O'CONNOR,693,0.0,0,2:00 AM,27,Downtown/Charlestown/North End,A-1,WidescrnTV,Widescreen Television,693,85,,  Causeway ST,Boston,MA,2114,"['42.364591000', '-71.062338000']",42.364591000,-71.062338000
1236,CAL-132552,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,AUSTIN O'CONNOR,O'CONNOR,The Harp,"Galway, Inc.",AUSTIN O'CONNOR,693,0.0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,DVDVCR,DVD/VCR,693,85,,  Causeway ST,Boston,MA,2114,"['42.364591000', '-71.062338000']",42.364591000,-71.062338000
1237,CAL-132552,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,AUSTIN O'CONNOR,O'CONNOR,The Harp,"Galway, Inc.",AUSTIN O'CONNOR,693,0.0,693,2:00 AM,1,Downtown/Charlestown/North End,A-1,DancingPat,Dancing by Patrons,693,85,,  Causeway ST,Boston,MA,2114,"['42.364591000', '-71.062338000']",42.364591000,-71.062338000
1238,CAL-132554,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,SPIRO VELOUDOS,,Lyric Stage Theatre,"Lyric Stage Company of Boston, Inc.",SPIRO VELOUDOS,244,175.0,244,11:00 PM,244,Back Bay/South End,D-4,Theatre,Theatre,244,140,,  Clarendon ST,Boston,MA,2116,"['42.348611000', '-71.074438000']",42.348611000,-71.074438000
1239,CAL-132557,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Kin Ming Chan,,Fish Market,"JnK, Inc.",Kin Ming Chan,19,0.0,19,12:00 AM,1,Allston/Brighton,D-14,CassetteCD,Cassette/CD Player,19,170,,  Brighton AV,Allston,MA,2134,"['42.352902000', '-71.132981000']",42.352902000,-71.132981000
1240,CAL-132557,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Kin Ming Chan,,Fish Market,"JnK, Inc.",Kin Ming Chan,19,0.0,0,12:00 AM,1,Allston/Brighton,D-14,Radio,Radio,19,170,,  Brighton AV,Allston,MA,2134,"['42.352902000', '-71.132981000']",42.352902000,-71.132981000
1241,CAL-132557,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Kin Ming Chan,,Fish Market,"JnK, Inc.",Kin Ming Chan,19,0.0,0,12:00 AM,1,Allston/Brighton,D-14,WidescrnTV,Widescreen Television,19,170,,  Brighton AV,Allston,MA,2134,"['42.352902000', '-71.132981000']",42.352902000,-71.132981000
1242,CAL-132559,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Rocco Zagarella,,Waterfront Caf,"Zagcafe, Inc.",Rocco Zagarella,49,0.0,49,1:00 AM,1,Downtown/Charlestown/North End,A-1,Radio,Radio,49,450,454,  Commercial ST,Boston,MA,2109,"['42.367320000', '-71.053350000']",42.367320000,-71.053350000
1243,CAL-132559,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Rocco Zagarella,,Waterfront Caf,"Zagcafe, Inc.",Rocco Zagarella,49,0.0,0,1:00 AM,34,Downtown/Charlestown/North End,A-1,TV,"Television (under 27"")",49,450,454,  Commercial ST,Boston,MA,2109,"['42.367320000', '-71.053350000']",42.367320000,-71.053350000
1244,CAL-132559,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Rocco Zagarella,,Waterfront Caf,"Zagcafe, Inc.",Rocco Zagarella,49,0.0,0,1:00 AM,1,Downtown/Charlestown/North End,A-1,CassetteCD,Cassette/CD Player,49,450,454,  Commercial ST,Boston,MA,2109,"['42.367320000', '-71.053350000']",42.367320000,-71.053350000
1245,CAL-132560,11/25/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,DORA PASQUALE,PASQUALE,Half-Time,E.P.E. Corporation,DORA PASQUALE,188,0.0,188,1:00 AM,1,Downtown/Charlestown/North End,A-1,CassetteCD,Cassette/CD Player,188,113,117,  Causeway ST,Boston,MA,2114,"['42.365054000', '-71.061409000']",42.365054000,-71.061409000
1246,CAL-132560,11/25/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,DORA PASQUALE,PASQUALE,Half-Time,E.P.E. Corporation,DORA PASQUALE,188,0.0,0,1:00 AM,1,Downtown/Charlestown/North End,A-1,Radio,Radio,188,113,117,  Causeway ST,Boston,MA,2114,"['42.365054000', '-71.061409000']",42.365054000,-71.061409000
1247,CAL-132560,11/25/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,DORA PASQUALE,PASQUALE,Half-Time,E.P.E. Corporation,DORA PASQUALE,188,0.0,0,1:00 AM,3,Downtown/Charlestown/North End,A-1,TV,"Television (under 27"")",188,113,117,  Causeway ST,Boston,MA,2114,"['42.365054000', '-71.061409000']",42.365054000,-71.061409000
1248,CAL-132560,11/25/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,DORA PASQUALE,PASQUALE,Half-Time,E.P.E. Corporation,DORA PASQUALE,188,1260.0,0,1:00 AM,7,Downtown/Charlestown/North End,A-1,WidescrnTV,Widescreen Television,188,113,117,  Causeway ST,Boston,MA,2114,"['42.365054000', '-71.061409000']",42.365054000,-71.061409000
1249,CAL-132561,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,FRANCIS DELANEY,,The Patriot,"TOOMARD, INC",FRANCIS DELANEY,149,0.0,0,1:00 AM,5,South Boston,C-6,InstVocal,Instrumental/Vocal,149,471,,W Broadway ,South Boston,MA,2127,"['42.335560000', '-71.046200000']",42.335560000,-71.046200000
1250,CAL-132561,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,FRANCIS DELANEY,,The Patriot,"TOOMARD, INC",FRANCIS DELANEY,149,0.0,0,1:00 AM,1,South Boston,C-6,CassetteCD,Cassette/CD Player,149,471,,W Broadway ,South Boston,MA,2127,"['42.335560000', '-71.046200000']",42.335560000,-71.046200000
1251,CAL-132561,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,FRANCIS DELANEY,,The Patriot,"TOOMARD, INC",FRANCIS DELANEY,149,0.0,0,1:00 AM,1,South Boston,C-6,Jukebox,Jukebox,149,471,,W Broadway ,South Boston,MA,2127,"['42.335560000', '-71.046200000']",42.335560000,-71.046200000
1252,CAL-132561,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,FRANCIS DELANEY,,The Patriot,"TOOMARD, INC",FRANCIS DELANEY,149,0.0,0,1:00 AM,3,South Boston,C-6,TV,"Television (under 27"")",149,471,,W Broadway ,South Boston,MA,2127,"['42.335560000', '-71.046200000']",42.335560000,-71.046200000
1253,CAL-132561,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,FRANCIS DELANEY,,The Patriot,"TOOMARD, INC",FRANCIS DELANEY,149,540.0,0,1:00 AM,3,South Boston,C-6,WidescrnTV,Widescreen Television,149,471,,W Broadway ,South Boston,MA,2127,"['42.335560000', '-71.046200000']",42.335560000,-71.046200000
1254,CAL-132561,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,FRANCIS DELANEY,,The Patriot,"TOOMARD, INC",FRANCIS DELANEY,149,180.0,0,1:00 AM,1,South Boston,C-6,DVDVCR,DVD/VCR,149,471,,W Broadway ,South Boston,MA,2127,"['42.335560000', '-71.046200000']",42.335560000,-71.046200000
1255,CAL-132561,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,FRANCIS DELANEY,,The Patriot,"TOOMARD, INC",FRANCIS DELANEY,149,800.0,149,1:00 AM,1,South Boston,C-6,DJ,Disc Jockey,149,471,,W Broadway ,South Boston,MA,2127,"['42.335560000', '-71.046200000']",42.335560000,-71.046200000
1256,CAL-132561,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,FRANCIS DELANEY,,The Patriot,"TOOMARD, INC",FRANCIS DELANEY,149,280.0,0,1:00 AM,2,South Boston,C-6,AutoAmuse,Auto Amusement Device/Game,149,471,,W Broadway ,South Boston,MA,2127,"['42.335560000', '-71.046200000']",42.335560000,-71.046200000
1257,CAL-132562,1/1/2014 0:00,9/12/2014 17:24,12/31/2014 0:00,Active,Non-Live Entertainment,James Hoben,El Pelon Taqueria,El Pelon Taqueria,El Pelon Taqueria Corp.,James Hoben,12,0.0,12,11:00 PM,1,Allston/Brighton,D-14,CassetteCD,Cassette/CD Player,12,2197,, Commonwealth Av,Brighton,MA,2135,"['42.339750000', '-71.166398000']",42.339750000,-71.166398000
1258,CAL-132562,1/1/2014 0:00,9/12/2014 17:24,12/31/2014 0:00,Active,Non-Live Entertainment,James Hoben,El Pelon Taqueria,El Pelon Taqueria,El Pelon Taqueria Corp.,James Hoben,12,0.0,0,11:00 PM,1,Allston/Brighton,D-14,Radio,Radio,12,2197,, Commonwealth Av,Brighton,MA,2135,"['42.339750000', '-71.166398000']",42.339750000,-71.166398000
1259,CAL-132563,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Jacky L Robert,,Petit Robert Bistro,"Petit Robert Bistro, Inc.",Jacky L Robert,78,0.0,0,1:00 AM,1,Back Bay/South End,D-4,TV,"Television (under 27"")",78,480,,  Columbus AV,Roxbury,MA,2118,"['42.342840000', '-71.078610000']",42.342840000,-71.078610000
1260,CAL-132563,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Jacky L Robert,,Petit Robert Bistro,"Petit Robert Bistro, Inc.",Jacky L Robert,78,0.0,78,1:00 AM,1,Back Bay/South End,D-4,CassetteCD,Cassette/CD Player,78,480,,  Columbus AV,Roxbury,MA,2118,"['42.342840000', '-71.078610000']",42.342840000,-71.078610000
1261,CAL-132564,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Xue Yuan Zheng,,Fins Sushi & Grill,"Bento Express, Inc.",Xue Yuan Zheng,45,0.0,45,11:00 PM,1,Back Bay/South End,D-4,Radio,Radio,45,62,,  Boylston ST,Boston,MA,2116,"['42.351990000', '-71.064390000']",42.351990000,-71.064390000
1262,CAL-132564,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Xue Yuan Zheng,,Fins Sushi & Grill,"Bento Express, Inc.",Xue Yuan Zheng,45,0.0,0,11:00 PM,2,Back Bay/South End,D-4,WidescrnTV,Widescreen Television,45,62,,  Boylston ST,Boston,MA,2116,"['42.351990000', '-71.064390000']",42.351990000,-71.064390000
1263,CAL-132565,1/1/2014 0:00,9/12/2014 17:24,12/31/2014 0:00,Active,Non-Live Entertainment,Olrie Roberts,zaz,ZAZ,ZAZ,Olrie Roberts,19,0.0,19,9:00 PM,1,Hyde Park,E-18,CassetteCD,Cassette/CD Player,19,1230,1240,  River ST,Hyde Park,MA,2136,"['42.255789000', '-71.122989000']",42.255789000,-71.122989000
1264,CAL-132565,1/1/2014 0:00,9/12/2014 17:24,12/31/2014 0:00,Active,Non-Live Entertainment,Olrie Roberts,zaz,ZAZ,ZAZ,Olrie Roberts,19,0.0,0,9:00 PM,1,Hyde Park,E-18,WidescrnTV,Widescreen Television,19,1230,1240,  River ST,Hyde Park,MA,2136,"['42.255789000', '-71.122989000']",42.255789000,-71.122989000
1265,CAL-132566,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Sean McCaffrey,,Blue Glass Caf,"Guckenheimer, Inc.",Sean McCaffrey,355,0.0,355,5:00 PM,1,Back Bay/South End,D-4,CassetteCD,Cassette/CD Player,355,200,,  Clarendon ST,Boston,MA,2116,"['42.349210000', '-71.075130000']",42.349210000,-71.075130000
1266,CAL-132566,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Sean McCaffrey,,Blue Glass Caf,"Guckenheimer, Inc.",Sean McCaffrey,355,0.0,0,5:00 PM,7,Back Bay/South End,D-4,WidescrnTV,Widescreen Television,355,200,,  Clarendon ST,Boston,MA,2116,"['42.349210000', '-71.075130000']",42.349210000,-71.075130000
1267,CAL-132566,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Sean McCaffrey,,Blue Glass Caf,"Guckenheimer, Inc.",Sean McCaffrey,355,0.0,0,5:00 PM,1,Back Bay/South End,D-4,Radio,Radio,355,200,,  Clarendon ST,Boston,MA,2116,"['42.349210000', '-71.075130000']",42.349210000,-71.075130000
1268,CAL-132567,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Evelin Lopez,,Mi Casa Tu Casa,Mi Casa Su Casa,Evelin Lopez,19,0.0,0,10:00pm,1,Dorchester,C-11,Radio,Radio,19,299,,  Hancock ST,Dorchester,MA,2125,"['42.308104000', '-71.058789000']",42.308104000,-71.058789000
1269,CAL-132567,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Evelin Lopez,,Mi Casa Tu Casa,Mi Casa Su Casa,Evelin Lopez,19,180.0,0,10:00pm,1,Dorchester,C-11,DVDVCR,DVD/VCR,19,299,,  Hancock ST,Dorchester,MA,2125,"['42.308104000', '-71.058789000']",42.308104000,-71.058789000
1270,CAL-132567,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Evelin Lopez,,Mi Casa Tu Casa,Mi Casa Su Casa,Evelin Lopez,19,0.0,19,10:00pm,1,Dorchester,C-11,CassetteCD,Cassette/CD Player,19,299,,  Hancock ST,Dorchester,MA,2125,"['42.308104000', '-71.058789000']",42.308104000,-71.058789000
1271,CAL-132567,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Evelin Lopez,,Mi Casa Tu Casa,Mi Casa Su Casa,Evelin Lopez,19,0.0,0,10:00pm,2,Dorchester,C-11,TV,"Television (under 27"")",19,299,,  Hancock ST,Dorchester,MA,2125,"['42.308104000', '-71.058789000']",42.308104000,-71.058789000
1272,CAL-132568,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Robert A Paratore,,Who's On First,"Who's On First, Inc.",Robert A Paratore,325,0.0,0,2:00 AM,1,Back Bay/South End,D-4,FloorShow,Floor Show,325,19,23,  Yawkey WY,Boston,MA,2215,"['42.346110000', '-71.098840000']",42.346110000,-71.098840000
1273,CAL-132568,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Robert A Paratore,,Who's On First,"Who's On First, Inc.",Robert A Paratore,325,0.0,0,2:00 AM,1,Back Bay/South End,D-4,DancingPat,Dancing by Patrons,325,19,23,  Yawkey WY,Boston,MA,2215,"['42.346110000', '-71.098840000']",42.346110000,-71.098840000
1274,CAL-132568,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Robert A Paratore,,Who's On First,"Who's On First, Inc.",Robert A Paratore,325,1000.0,325,2:00 AM,1,Back Bay/South End,D-4,DJ,Disc Jockey,325,19,23,  Yawkey WY,Boston,MA,2215,"['42.346110000', '-71.098840000']",42.346110000,-71.098840000
1275,CAL-132568,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Robert A Paratore,,Who's On First,"Who's On First, Inc.",Robert A Paratore,325,0.0,0,2:00 AM,1,Back Bay/South End,D-4,InstVocal,Instrumental/Vocal,325,19,23,  Yawkey WY,Boston,MA,2215,"['42.346110000', '-71.098840000']",42.346110000,-71.098840000
1276,CAL-132568,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Robert A Paratore,,Who's On First,"Who's On First, Inc.",Robert A Paratore,325,0.0,0,2:00 AM,1,Back Bay/South End,D-4,CassetteCD,Cassette/CD Player,325,19,23,  Yawkey WY,Boston,MA,2215,"['42.346110000', '-71.098840000']",42.346110000,-71.098840000
1277,CAL-132568,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Robert A Paratore,,Who's On First,"Who's On First, Inc.",Robert A Paratore,325,0.0,0,2:00 AM,1,Back Bay/South End,D-4,Jukebox,Jukebox,325,19,23,  Yawkey WY,Boston,MA,2215,"['42.346110000', '-71.098840000']",42.346110000,-71.098840000
1278,CAL-132568,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Robert A Paratore,,Who's On First,"Who's On First, Inc.",Robert A Paratore,325,0.0,0,2:00 AM,4,Back Bay/South End,D-4,TV,"Television (under 27"")",325,19,23,  Yawkey WY,Boston,MA,2215,"['42.346110000', '-71.098840000']",42.346110000,-71.098840000
1279,CAL-132568,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Robert A Paratore,,Who's On First,"Who's On First, Inc.",Robert A Paratore,325,0.0,0,2:00 AM,10,Back Bay/South End,D-4,WidescrnTV,Widescreen Television,325,19,23,  Yawkey WY,Boston,MA,2215,"['42.346110000', '-71.098840000']",42.346110000,-71.098840000
1280,CAL-132568,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Robert A Paratore,,Who's On First,"Who's On First, Inc.",Robert A Paratore,325,0.0,0,2:00 AM,1,Back Bay/South End,D-4,DVDVCR,DVD/VCR,325,19,23,  Yawkey WY,Boston,MA,2215,"['42.346110000', '-71.098840000']",42.346110000,-71.098840000
1281,CAL-132568,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Robert A Paratore,,Who's On First,"Who's On First, Inc.",Robert A Paratore,325,0.0,0,2:00 AM,4,Back Bay/South End,D-4,AutoAmuse,Auto Amusement Device/Game,325,19,23,  Yawkey WY,Boston,MA,2215,"['42.346110000', '-71.098840000']",42.346110000,-71.098840000
1282,CAL-132569,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,W Kevin Fitzgerald,,Jacob Wirth,"Jacob Wirth Restaurant Company, LLC",W Kevin Fitzgerald,276,0.0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,CassetteCD,Cassette/CD Player,276,31,39,  Stuart ST,Boston,MA,2116,"['42.351260000', '-71.063750000']",42.351260000,-71.063750000
1283,CAL-132569,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,W Kevin Fitzgerald,,Jacob Wirth,"Jacob Wirth Restaurant Company, LLC",W Kevin Fitzgerald,276,540.0,0,2:00 AM,3,Downtown/Charlestown/North End,A-1,WidescrnTV,Widescreen Television,276,31,39,  Stuart ST,Boston,MA,2116,"['42.351260000', '-71.063750000']",42.351260000,-71.063750000
1284,CAL-132569,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,W Kevin Fitzgerald,,Jacob Wirth,"Jacob Wirth Restaurant Company, LLC",W Kevin Fitzgerald,276,400.0,276,2:00 AM,1,Downtown/Charlestown/North End,A-1,InstVocal,Instrumental/Vocal,276,31,39,  Stuart ST,Boston,MA,2116,"['42.351260000', '-71.063750000']",42.351260000,-71.063750000
1285,CAL-132571,1/1/2014 0:00,9/12/2014 17:24,12/31/2014 0:00,Active,Non-Live Entertainment,Edward J McNary,,Pedro's Tacos,"Pedro's Tacos Boston, LLC",Edward J McNary,18,540.0,18,7:00 PM,3,Downtown/Charlestown/North End,A-1,WidescrnTV,Widescreen Television,18,53,55,  Bromfield ST,Boston,MA,2108,"['42.357020000', '-71.060690000']",42.357020000,-71.060690000
1286,CAL-132572,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Mary Varden,,Biddy Early's,"UVM, Inc.",Mary Varden,57,800.0,57,1:00 AM,1,Downtown/Charlestown/North End,A-1,Radio,Radio,57,141,143,  Pearl ST,Boston,MA,2110,"['42.354640000', '-71.053740000']",42.354640000,-71.053740000
1287,CAL-132572,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Mary Varden,,Biddy Early's,"UVM, Inc.",Mary Varden,57,0.0,0,1:00 AM,1,Downtown/Charlestown/North End,A-1,CassetteCD,Cassette/CD Player,57,141,143,  Pearl ST,Boston,MA,2110,"['42.354640000', '-71.053740000']",42.354640000,-71.053740000
1288,CAL-132572,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Mary Varden,,Biddy Early's,"UVM, Inc.",Mary Varden,57,0.0,0,1:00 AM,1,Downtown/Charlestown/North End,A-1,Jukebox,Jukebox,57,141,143,  Pearl ST,Boston,MA,2110,"['42.354640000', '-71.053740000']",42.354640000,-71.053740000
