,LICENSENO,LICENSEDTTM,ISSDTTM,EXPDTTM,LICSTATUS,LICCATDESC,PRIMAPPLICANT,CONTACT,DBANAME,BUSINESSNAME,Manager,TOTALCAPACITY,FEEAMOUNT,CAPACITY,ENDTIME,NUMBEROFUNITS,Neighborhood,CAL_POLICEDISTRICTCODE,CAL_UNITTYPECODE,UnitTypeDescript,TotalEntCapacity,STNO,STNOHI,Address,CITY,STATE,ZIP,Location,Lat,Long
2670,CAL-132953,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Mary T Connolly,,The Seapoint,"Seapoint, Inc.",Mary T Connolly,400,0.0,0,1:00 AM,1,South Boston,C-6,DVDVCR,DVD/VCR,400,367,,E Eighth ST,South Boston,MA,2127,"['42.331130000', '-71.046340000']",42.331130000,-71.046340000
2671,CAL-132953,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Mary T Connolly,,The Seapoint,"Seapoint, Inc.",Mary T Connolly,400,0.0,0,1:00 AM,1,South Boston,C-6,Dartboard,Dartboard,400,367,,E Eighth ST,South Boston,MA,2127,"['42.331130000', '-71.046340000']",42.331130000,-71.046340000
2672,CAL-132953,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Mary T Connolly,,The Seapoint,"Seapoint, Inc.",Mary T Connolly,400,1000.0,400,1:00 AM,1,South Boston,C-6,DancingPat,Dancing by Patrons,400,367,,E Eighth ST,South Boston,MA,2127,"['42.331130000', '-71.046340000']",42.331130000,-71.046340000
2673,CAL-132953,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Mary T Connolly,,The Seapoint,"Seapoint, Inc.",Mary T Connolly,400,0.0,0,1:00 AM,3,South Boston,C-6,AutoAmuse,Auto Amusement Device/Game,400,367,,E Eighth ST,South Boston,MA,2127,"['42.331130000', '-71.046340000']",42.331130000,-71.046340000
2674,CAL-132954,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Ryan Greene,,Back Bay Social Club,"BB Social Club, LLC",Ryan Greene,240,0.0,0,2:00 AM,1,Back Bay/South End,D-4,CassetteCD,Cassette/CD Player,240,867,871,  Boylston ST,Boston,MA,2116,"['42.348740000', '-71.083445000']",42.348740000,-71.083445000
2675,CAL-132954,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Ryan Greene,,Back Bay Social Club,"BB Social Club, LLC",Ryan Greene,240,0.0,0,2:00 AM,1,Back Bay/South End,D-4,Jukebox,Jukebox,240,867,871,  Boylston ST,Boston,MA,2116,"['42.348740000', '-71.083445000']",42.348740000,-71.083445000
2676,CAL-132954,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Ryan Greene,,Back Bay Social Club,"BB Social Club, LLC",Ryan Greene,240,180.0,0,2:00 AM,1,Back Bay/South End,D-4,DVDVCR,DVD/VCR,240,867,871,  Boylston ST,Boston,MA,2116,"['42.348740000', '-71.083445000']",42.348740000,-71.083445000
2677,CAL-132954,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Ryan Greene,,Back Bay Social Club,"BB Social Club, LLC",Ryan Greene,240,720.0,0,2:00 AM,4,Back Bay/South End,D-4,WidescrnTV,Widescreen Television,240,867,871,  Boylston ST,Boston,MA,2116,"['42.348740000', '-71.083445000']",42.348740000,-71.083445000
2678,CAL-132954,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Ryan Greene,,Back Bay Social Club,"BB Social Club, LLC",Ryan Greene,240,0.0,240,2:00 AM,1,Back Bay/South End,D-4,Radio,Radio,240,867,871,  Boylston ST,Boston,MA,2116,"['42.348740000', '-71.083445000']",42.348740000,-71.083445000
2679,CAL-132955,1/1/2014 0:00,9/12/2014 17:24,12/31/2014 0:00,Active,Non-Live Entertainment,Victoria Salomon,,Cigar Masters,"Up In Smoke, Inc.",Victoria Salomon,40,0.0,40,1:00 AM,1,Back Bay/South End,D-4,CassetteCD,Cassette/CD Player,40,745,, Boylston St,Boston,MA,2116,"['42.349421000', '-71.080611000']",42.349421000,-71.080611000
2680,CAL-132955,1/1/2014 0:00,9/12/2014 17:24,12/31/2014 0:00,Active,Non-Live Entertainment,Victoria Salomon,,Cigar Masters,"Up In Smoke, Inc.",Victoria Salomon,40,0.0,0,1:00 AM,1,Back Bay/South End,D-4,Radio,Radio,40,745,, Boylston St,Boston,MA,2116,"['42.349421000', '-71.080611000']",42.349421000,-71.080611000
2681,CAL-132955,1/1/2014 0:00,9/12/2014 17:24,12/31/2014 0:00,Active,Non-Live Entertainment,Victoria Salomon,,Cigar Masters,"Up In Smoke, Inc.",Victoria Salomon,40,0.0,0,1:00 AM,3,Back Bay/South End,D-4,TV,"Television (under 27"")",40,745,, Boylston St,Boston,MA,2116,"['42.349421000', '-71.080611000']",42.349421000,-71.080611000
2682,CAL-132955,1/1/2014 0:00,9/12/2014 17:24,12/31/2014 0:00,Active,Non-Live Entertainment,Victoria Salomon,,Cigar Masters,"Up In Smoke, Inc.",Victoria Salomon,40,720.0,0,1:00 AM,4,Back Bay/South End,D-4,WidescrnTV,Widescreen Television,40,745,, Boylston St,Boston,MA,2116,"['42.349421000', '-71.080611000']",42.349421000,-71.080611000
2683,CAL-132956,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Kathleen Gehan,,Silvertone Bar & Grill,"Silvertone Restaurant, Inc.",Kathleen Gehan,130,0.0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,TV,"Television (under 27"")",130,69,,  Bromfield ST,Boston,MA,2108,"['42.357122000', '-71.060928000']",42.357122000,-71.060928000
2684,CAL-132956,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Kathleen Gehan,,Silvertone Bar & Grill,"Silvertone Restaurant, Inc.",Kathleen Gehan,130,0.0,130,2:00 AM,1,Downtown/Charlestown/North End,A-1,CassetteCD,Cassette/CD Player,130,69,,  Bromfield ST,Boston,MA,2108,"['42.357122000', '-71.060928000']",42.357122000,-71.060928000
2685,CAL-132956,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Kathleen Gehan,,Silvertone Bar & Grill,"Silvertone Restaurant, Inc.",Kathleen Gehan,130,0.0,0,2:00 AM,1,Downtown/Charlestown/North End,A-1,Radio,Radio,130,69,,  Bromfield ST,Boston,MA,2108,"['42.357122000', '-71.060928000']",42.357122000,-71.060928000
2686,CAL-132957,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Mark D'Alessandro,,Mistral,Traif Corp.,Mark D'Alessandro,270,0.0,0,2:00 AM,4,Back Bay/South End,D-4,InstVocal,Instrumental/Vocal,270,221,,  Columbus AV,Boston,MA,2116,"['42.348248000', '-71.072690000']",42.348248000,-71.072690000
2687,CAL-132957,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Mark D'Alessandro,,Mistral,Traif Corp.,Mark D'Alessandro,270,1180.0,270,2:00 AM,1,Back Bay/South End,D-4,WidescrnTV,Widescreen Television,270,221,,  Columbus AV,Boston,MA,2116,"['42.348248000', '-71.072690000']",42.348248000,-71.072690000
2688,CAL-132957,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Mark D'Alessandro,,Mistral,Traif Corp.,Mark D'Alessandro,270,0.0,0,2:00 AM,1,Back Bay/South End,D-4,Radio,Radio,270,221,,  Columbus AV,Boston,MA,2116,"['42.348248000', '-71.072690000']",42.348248000,-71.072690000
2689,CAL-132957,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Mark D'Alessandro,,Mistral,Traif Corp.,Mark D'Alessandro,270,0.0,0,2:00 AM,1,Back Bay/South End,D-4,CassetteCD,Cassette/CD Player,270,221,,  Columbus AV,Boston,MA,2116,"['42.348248000', '-71.072690000']",42.348248000,-71.072690000
2690,CAL-132957,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Mark D'Alessandro,,Mistral,Traif Corp.,Mark D'Alessandro,270,0.0,0,2:00 AM,1,Back Bay/South End,D-4,Jukebox,Jukebox,270,221,,  Columbus AV,Boston,MA,2116,"['42.348248000', '-71.072690000']",42.348248000,-71.072690000
2691,CAL-132957,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Mark D'Alessandro,,Mistral,Traif Corp.,Mark D'Alessandro,270,0.0,0,2:00 AM,6,Back Bay/South End,D-4,TV,"Television (under 27"")",270,221,,  Columbus AV,Boston,MA,2116,"['42.348248000', '-71.072690000']",42.348248000,-71.072690000
2692,CAL-132957,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Mark D'Alessandro,,Mistral,Traif Corp.,Mark D'Alessandro,270,0.0,0,2:00 AM,1,Back Bay/South End,D-4,DVDVCR,DVD/VCR,270,221,,  Columbus AV,Boston,MA,2116,"['42.348248000', '-71.072690000']",42.348248000,-71.072690000
2693,CAL-132957,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Mark D'Alessandro,,Mistral,Traif Corp.,Mark D'Alessandro,270,0.0,0,2:00 AM,1,Back Bay/South End,D-4,DJ,Disc Jockey,270,221,,  Columbus AV,Boston,MA,2116,"['42.348248000', '-71.072690000']",42.348248000,-71.072690000
2694,CAL-132957,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Night Club,Mark D'Alessandro,,Mistral,Traif Corp.,Mark D'Alessandro,270,0.0,0,2:00 AM,1,Back Bay/South End,D-4,DancingPat,Dancing by Patrons,270,221,,  Columbus AV,Boston,MA,2116,"['42.348248000', '-71.072690000']",42.348248000,-71.072690000
2695,CAL-132958,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Michael Chabot,,Allston Diner,"Allston Diner, LLP",Michael Chabot,40,180.0,40,11:00 PM,1,Allston/Brighton,D-14,WidescrnTV,Widescreen Television,40,417,433,  Cambridge ST,Allston,MA,2134,"['42.355123000', '-71.134062000']",42.355123000,-71.134062000
2696,CAL-132958,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Michael Chabot,,Allston Diner,"Allston Diner, LLP",Michael Chabot,40,180.0,0,11:00 PM,1,Allston/Brighton,D-14,DVDVCR,DVD/VCR,40,417,433,  Cambridge ST,Allston,MA,2134,"['42.355123000', '-71.134062000']",42.355123000,-71.134062000
2697,CAL-132958,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Michael Chabot,,Allston Diner,"Allston Diner, LLP",Michael Chabot,40,0.0,0,11:00 PM,1,Allston/Brighton,D-14,Radio,Radio,40,417,433,  Cambridge ST,Allston,MA,2134,"['42.355123000', '-71.134062000']",42.355123000,-71.134062000
2698,CAL-132958,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Non-Live Entertainment,Michael Chabot,,Allston Diner,"Allston Diner, LLP",Michael Chabot,40,0.0,0,11:00 PM,1,Allston/Brighton,D-14,TV,"Television (under 27"")",40,417,433,  Cambridge ST,Allston,MA,2134,"['42.355123000', '-71.134062000']",42.355123000,-71.134062000
2699,CAL-132959,1/1/2014 0:00,9/12/2014 17:24,12/31/2015 0:00,Active,Live Entertainment,Brian Stiglets,,Best Western Boston,Longwood Hotel Corp.,Brian Stiglets,695,0.0,0,2:00 AM,1,Roxbury/Dorchester,B-2,DancingPat,Dancing by Patrons,695,342,,  Longwood AV,Boston,MA,2115,"['42.338216000', '-71.106561000']",42.338216000,-71.106561000
